"","Total","Media","DesvPad","Minimo","Maximo"
"1",29689210.0112735,98964.0333709117,16801.5069397295,54657.7199543753,138879.383681703
"2",27829896.1116234,92766.3203720779,15492.0725830161,54657.7199543753,133391.51601147
"3",26350113.306187,87833.7110206233,13237.0085341047,55233.2360009489,148296.379425585
"4",25125167.9522291,83750.5598407636,11924.4611837929,52677.6618999333,116165.803312493
"5",23774533.7401331,79248.4458004437,11896.0545180323,49598.0716621267,116165.803312493
"6",22458040.051823,74860.1335060768,10830.9782994174,47473.8128115116,112599.077946344
"7",21496391.6778189,71654.6389260631,10268.2056171683,46807.7034661721,102842.080380496
"8",20498275.8577586,68327.5861925287,10705.1783899409,44499.3339040955,102842.080380496
"9",19520878.7844227,65069.5959480756,9758.91394244211,42506.76986078,94509.5422169709
"10",18270617.2743411,60902.057581137,9431.79896522873,38870.9446137039,96869.6970681188
"11",17507345.7845972,58357.8192819907,9208.72992649755,33925.3617609342,97910.6751516962
"12",16614122.9158895,55380.4097196318,9167.2195554421,33629.8767303899,95779.6503430148
"13",15691918.2275361,52306.394091787,8700.71952186352,29708.4833445621,94425.1290428499
"14",14861245.080443,49537.4836014766,8823.46775332401,29180.8192516133,100126.006338877
"15",13960010.120944,46533.3670698135,8554.15364694033,24250.8070172592,77507.4794299967
"16",13292544.397761,44308.4813258701,8097.28941877448,24219.522693938,77026.2891586733
"17",12689412.1467643,42298.0404892142,7344.85472904918,26895.4257226785,70570.4785840867
"18",11970632.0787819,39902.1069292729,7255.62884549889,19844.9088904152,58030.4171076135
"19",11415360.8556574,38051.2028521913,7544.5196308248,16290.0845328451,64175.1584619453
"20",10757920.2117558,35859.734039186,7384.41434706026,16290.0845328451,64175.1584619453
"21",10047760.1194017,33492.5337313391,7238.69886658408,16290.0845328451,56512.7285434505
"22",9344610.49145582,31148.7016381861,6643.63189359825,15759.518005878,59593.4414381394
"23",8677216.37979124,28924.0545993041,6265.58785184583,15205.028505507,50842.8615015737
"24",8177169.68300012,27257.2322766671,6008.55891172051,15205.028505507,50491.962138626
"25",7685477.53810237,25618.2584603412,5293.22201184722,15044.4286870909,47991.1897178296
"26",7254254.42503449,24180.8480834483,5029.62442554193,15152.1638552104,45977.8732308409
"27",6918510.86545325,23061.7028848442,5147.15873808295,15152.1638552104,45977.8732308409
"28",6535974.92562986,21786.5830854329,4422.15947196081,14176.4413203975,42727.2113850281
"29",6406999.14267216,21356.6638089072,4666.06257003729,13173.8503957979,42727.2113850281
"30",6038276.83060494,20127.5894353498,4087.45482489704,13173.8503957979,34939.0736132299
"31",5810175.06833238,19367.2502277746,4001.82276178606,13171.8626241168,40074.1251935383
"32",5611227.271064,18704.0909035467,4193.81401896011,13072.8258823667,40074.1251935383
"33",5379841.40189445,17932.8046729815,3798.20650974931,12309.2418579256,28911.8306978364
"34",5225919.91556976,17419.7330518992,4068.0715129016,12253.6075503655,36825.131393468
"35",5083075.6609758,16943.585536586,4208.41422372932,12253.6075503655,34672.9005636548
"36",4959310.45722991,16531.034857433,4480.80683482555,12008.2501841675,44224.2149397609
"37",4711379.51900587,15704.5983966862,4146.04620676688,11546.1015683095,38078.8959100386
"38",4531925.94055882,15106.4198018627,3557.0962077118,11348.7051366813,33346.3110875
"39",4394900.96468828,14649.6698822943,3446.36634754215,10966.4222215587,31889.2109537766
"40",4298065.11273333,14326.8837091111,3289.48158564365,10090.7089297306,23957.4073312445
"41",4236828.56974839,14122.7618991613,3571.67081481611,10090.7089297306,32565.7021885864
"42",4231059.77672315,14103.5325890772,4022.22349467046,10475.6893295948,42384.8289533923
"43",4095503.99516542,13651.6799838847,3374.55001858588,10405.6401753898,23052.2955198925
"44",4035099.21182357,13450.3307060786,3301.41577069112,10405.6401753898,22816.5819480461
"45",4019847.75702011,13399.4925234004,3654.95726331173,10395.96216455,31853.3365187725
"46",3884829.2295101,12949.4307650337,3300.73012998865,9498.061471237,29745.3942532994
"47",3815204.95739163,12717.3498579721,3194.68178895528,9734.16595342371,22779.7893805084
"48",3783165.21239285,12610.5507079762,3373.82321955162,9734.16595342371,22094.923684833
"49",3714144.7242674,12380.4824142247,3362.30088006371,9073.75341380007,21926.3081036226
"50",3697600.20623453,12325.3340207818,3763.84545657492,9072.14456568128,29495.2526373211
"51",3627350.38367248,12091.1679455749,3516.57929719276,9018.99770614342,21497.5430487575
"52",3559493.08302783,11864.9769434261,3509.09715181006,8916.59197074613,21368.0735298199
"53",3486959.84191697,11623.1994730566,3416.19096870647,8789.3199352131,21368.0735298199
"54",3460235.57369266,11534.1185789755,3554.62533220716,8380.3245636888,28620.0713402874
"55",3371255.98860014,11237.5199620005,3602.95444121161,8380.3245636888,29094.3663464786
"56",3333023.50273143,11110.0783424381,3480.49813555972,8305.88590778517,20475.9357951129
"57",3285487.88798051,10951.6262932684,3472.43556085061,8016.93699488432,20410.6006631973
"58",3213395.97267307,10711.3199089102,3496.28479423475,8016.93699488432,28874.3478780303
"59",3212798.89660444,10709.3296553481,3665.50590653869,8016.93699488432,28874.3478780303
"60",3188889.4677515,10629.6315591717,3961.07321939114,8082.80107613029,29181.322969343
"61",3128409.40502225,10428.0313500742,3445.03460756142,7690.47310516536,20015.9103305587
"62",3082573.95981596,10275.2465327199,3518.36843614605,7692.46087684645,28244.9752960039
"63",3087568.49310923,10291.8949770308,3678.42129090181,7692.46087684645,28042.4675937942
"64",3073571.65931921,10245.2388643974,3931.03099207815,7612.14295463788,28042.4675937942
"65",3008859.75382891,10029.532512763,4117.49371729154,7612.14295463788,37556.7994155275
"66",3085795.98780823,10285.9866260275,4136.26058883924,7565.17418286486,27860.9032537471
"67",2984291.00385097,9947.63667950324,3709.93697726803,7565.17418286486,26933.0127273546
"68",2846061.17047712,9486.87056825706,3427.31800705609,7565.17418286486,26960.81226086
"69",2860952.29207118,9536.50764023727,3602.83728437679,7545.24529713814,27139.3240030923
"70",2814047.38359207,9380.15794530691,3460.94879788689,7431.72745237679,18587.1601927554
"71",2792844.85141144,9309.48283803812,3634.29704043968,7431.72745237679,27301.2571623788
"72",2835250.98763435,9450.83662544782,3910.88630263489,7435.03954476012,36402.147692313
"73",2740573.17551631,9135.24391838771,3496.41413701566,7415.97083147546,26834.3686852407
"74",2802338.93766849,9341.12979222829,3727.59685622602,7417.95860315655,26834.3686852407
"75",2782312.72815158,9274.37576050525,3788.24204402916,7417.95860315655,27579.6561727927
"76",2766842.29508659,9222.80765028862,3945.6067445781,7415.97083147546,27957.9013723275
"77",2740039.74456736,9133.46581522455,3625.48002235431,7415.97083147546,27595.5064689909
"78",2804712.50297991,9349.04167659969,3727.41585729704,7415.97083147546,17703.4969705807
"79",2712257.55575132,9040.85851917108,3495.44860045055,7415.97083147546,17622.9795397773
"80",2736774.74346456,9122.58247821519,3683.73319559005,7415.97083147546,25968.9568699757
"81",2638492.20122433,8794.97400408111,3497.4393126171,7415.97083147546,27154.7367919058
"82",2642113.27874494,8807.04426248314,3443.32961031826,7415.97083147546,27143.1710029188
"83",2664839.60260987,8882.79867536623,3605.8533788448,7409.292146001,26666.1395869154
"84",2620039.18174999,8733.46393916662,3287.7026732658,7409.292146001,17466.122300083
"85",2628093.37336792,8760.31124455973,3429.08532731839,7390.39138571371,26242.6335035631
"86",2632551.29501567,8775.17098338555,3455.44084852235,7409.292146001,27377.0924968774
"87",2672591.41234988,8908.63804116628,3699.24199444639,7409.292146001,27379.0802685585
"88",2643926.76614732,8813.08922049107,3665.54268354496,7409.292146001,27339.662380782
"89",2620798.21798466,8735.99405994888,3480.05959118746,7409.292146001,27031.3709530041
"90",2662230.88799018,8874.10295996727,3657.15937179765,7409.292146001,27339.3107483923
"91",2672979.51942088,8909.93173140294,3613.35198188006,7409.292146001,27389.1686961738
"92",2701283.01987798,9004.27673292659,3607.35046724997,7409.292146001,17412.5970943394
"93",2695071.22619345,8983.57075397818,3696.13311054775,7409.292146001,27298.7047383197
"94",2752726.76639231,9175.75588797435,4177.92298754565,7409.292146001,27298.7047383197
"95",2784736.64307752,9282.45547692506,4149.49247422567,7409.292146001,27298.7047383197
"96",2761464.44914613,9204.88149715378,4103.5935372351,7409.292146001,27298.7047383197
"97",2628323.80808321,8761.07936027738,3444.33624633005,7409.292146001,26270.6990384483
"98",2641562.50268564,8805.20834228547,3506.65550060399,7409.292146001,26391.1631887243
"99",2648873.99854634,8829.57999515448,3520.92641473463,7409.292146001,26335.7151884665
"100",2653976.34279483,8846.58780931609,3556.8370769285,7409.292146001,25977.8396488712
"101",2656786.18857716,8855.95396192387,3496.83924303152,7409.292146001,17409.0996895271
"102",2631987.3839933,8773.29127997767,3389.89864772538,7409.292146001,17409.0996895271
"103",2622935.14302105,8743.11714340351,3640.30066038801,7409.292146001,27308.727269847
"104",2634295.48045867,8780.98493486222,3407.42415124712,7409.292146001,17409.0996895271
"105",2655481.83388384,8851.60611294615,3661.70317175148,7409.292146001,27302.3559798187
"106",2609399.30805988,8697.99769353293,3562.83038295552,7409.292146001,27333.5351480904
"107",2678136.5809774,8927.12193659134,3858.22209840829,7409.292146001,27299.0850347985
"108",2619485.71009576,8731.61903365255,3599.17511454151,7409.292146001,27307.299910605
"109",2617002.84254144,8723.34280847146,3313.14662517151,7409.292146001,17405.9184088649
"110",2601036.77229618,8670.1225743206,3457.73592071936,7409.292146001,27355.8857853984
"111",2663048.88834857,8876.82962782856,3772.41170606886,7409.292146001,27361.4827727636
"112",2664028.52358292,8880.09507860973,3509.84226332914,7409.292146001,17409.0996895271
"113",2761129.36825717,9203.76456085725,4045.45831831102,7409.292146001,27405.725952391
"114",2688364.70129595,8961.21567098651,3566.50701317531,7409.292146001,17409.0996895271
"115",2622945.28122153,8743.1509374051,3541.12185110111,7409.292146001,27303.4539091765
"116",2687227.62246185,8957.42540820616,3803.65169925465,7409.292146001,27334.0816246653
"117",2641158.13577253,8803.86045257511,3671.91371462305,7409.292146001,35860.7356995723
"118",2708415.58774982,9028.05195916607,3795.86349947007,7409.292146001,27384.3601868012
"119",2664368.99323638,8881.22997745459,3597.98220029588,7409.292146001,26548.5074676965
"120",2690544.10322221,8968.48034407404,3581.93725394662,7409.292146001,17409.0996895271
"121",2651019.6503811,8836.732167937,3451.81048689746,7409.292146001,17409.0996895271
"122",2679960.41328248,8933.20137760827,3965.75564272184,7409.292146001,27263.7992339019
"123",2650853.04741655,8836.17682472183,3805.066182096,7409.292146001,36615.8426509849
"124",2708071.72666647,9026.90575555491,3796.22558240341,7409.292146001,27377.3012048479
"125",2643334.67539437,8811.1155846479,3693.31019930685,7409.292146001,36126.3601188349
