"","Total","Media","DesvPad","Minimo","Maximo"
"1",3574.35342368509,3.57435342368509,1083.43376243238,-3326.82871449312,3202.02826655814
"2",-453122.755306272,-453.122755306272,991.695982215477,-3451.48128019881,3202.02826655814
"3",-901411.852707271,-901.411852707271,871.441351512721,-3451.48128019881,2015.60954459052
"4",-1272273.42441862,-1272.27342441862,808.916921701519,-3888.27420682531,2143.46192166694
"5",-1597774.72083912,-1597.77472083912,733.220418918505,-3955.92764507729,913.207372022862
"6",-1950741.00066916,-1950.74100066916,709.884773413364,-4940.46659450179,1527.98554883817
"7",-2244729.12319309,-2244.72912319309,709.059726459068,-5376.69734153041,57.7440072373957
"8",-2545890.85815742,-2545.89085815742,721.60084875682,-5376.69734153041,-59.4462165415675
"9",-2891438.18986545,-2891.43818986545,700.481724386073,-5534.10648713065,-1056.39063808398
"10",-3171041.57910954,-3171.04157910954,672.329727884683,-5693.6794525232,-946.585337585106
"11",-3442001.7249983,-3442.0017249983,679.912638347189,-6116.01101861976,-1269.69755082801
"12",-3713791.79631304,-3713.79179631304,658.593207572544,-6256.16084705745,-1546.85593691053
"13",-3956124.07639487,-3956.12407639487,673.839720059252,-6001.91935836353,-1209.41854142432
"14",-4241088.26976193,-4241.08826976193,680.106703792208,-6413.08507383274,-1773.3309516638
"15",-4557876.61245809,-4557.87661245809,648.792908829525,-6682.89633222591,-2331.56753231114
"16",-4831260.24779599,-4831.26024779599,625.366996434295,-6805.78308717743,-2131.38063626308
"17",-5084425.21871627,-5084.42521871627,618.873791208308,-6971.4442921378,-2324.51183717816
"18",-5355513.88991596,-5355.51388991596,585.601109013702,-7277.46998729281,-3359.50126597518
"19",-5617866.72950134,-5617.86672950134,549.854658495647,-7375.61264803726,-3520.53805148238
"20",-5855501.78579111,-5855.50178579111,550.650211734042,-7390.11893188247,-3826.62680428274
"21",-6055433.56818736,-6055.43356818736,527.337129031127,-7569.63964060806,-4134.73589540146
"22",-6253424.85342657,-6253.42485342657,508.243885473216,-7638.44949486195,-4443.41206362694
"23",-6481202.12153239,-6481.20212153238,465.307724124119,-7883.67729488163,-4368.4975631526
"24",-6681121.21960641,-6681.12121960641,463.437060356338,-8485.50000790771,-4832.14056709688
"25",-6852734.5123454,-6852.7345123454,462.116142165325,-8213.32142792499,-4832.14056709688
"26",-7043696.56346165,-7043.69656346165,432.708935281016,-8299.31059113906,-5464.66721716582
"27",-7223311.25078928,-7223.31125078928,429.480623610328,-8597.70568939912,-5610.38649719709
"28",-7392179.33168436,-7392.17933168436,452.801908751222,-8898.87947325513,-5493.15849376497
"29",-7580718.80021525,-7580.71880021525,447.129582228826,-9067.63963340856,-5655.66608552783
