"","Total","Media","DesvPad","Minimo","Maximo"
"1",37266.839678794,37.266839678794,1071.59992990803,-2819.77233664282,3594.67196483789
"2",-454818.975517726,-454.818975517726,964.042478851276,-3381.6019451626,3459.74190013488
"3",-915545.665547403,-915.545665547403,873.579349769573,-3899.02070376078,1712.06181612484
"4",-1312106.25632933,-1312.10625632933,851.756167375322,-3711.09489642244,1271.72834617685
"5",-1736727.90459261,-1736.72790459261,827.622056454718,-4716.07148058989,992.966025624918
"6",-2091912.7174019,-2091.9127174019,815.307030388559,-4776.12388784214,924.722770036342
"7",-2408027.58762093,-2408.02758762093,797.09591296188,-4919.99869174509,591.917507796974
"8",-2753000.92542454,-2753.00092542454,734.600264154863,-5501.64090070263,-220.719184753491
"9",-3015514.98563226,-3015.51498563226,722.928073525855,-5347.91055654243,-103.799164130903
"10",-3295564.16592908,-3295.56416592908,714.178199286691,-5542.99965255053,116.863795043659
"11",-3563918.83539765,-3563.91883539765,726.923007291622,-5920.94787194318,-500.401964201789
"12",-3864608.23782753,-3864.60823782753,713.269083901195,-6368.73611763365,-1304.57354796784
"13",-4149812.80155746,-4149.81280155746,713.097452719974,-6258.96233777907,-2030.29000246195
"14",-4410909.86230121,-4410.90986230121,682.572714570233,-6598.77321558788,-2048.43989080176
"15",-4661770.08497862,-4661.77008497862,661.261232909393,-6520.6255774746,-2254.41381054147
"16",-4877598.31287292,-4877.59831287292,664.179445755258,-7006.89284222362,-2254.41381054147
"17",-5135432.39263473,-5135.43239263473,660.293455579804,-7042.59341714637,-2309.17316623883
"18",-5375879.53309488,-5375.87953309488,622.288266588488,-7294.72997766546,-3074.49329825799
"19",-5595202.12668624,-5595.20212668624,636.718241952791,-7527.72120659019,-3074.49329825799
"20",-5840227.13986052,-5840.22713986052,632.638825862736,-7679.81884136952,-2678.64007787768
"21",-6057654.44888355,-6057.65444888355,613.799304299843,-7956.37898726065,-3596.1538060425
"22",-6267787.14267291,-6267.78714267291,612.138638858185,-8520.08283558604,-3719.1970220542
"23",-6474841.40922423,-6474.84140922423,593.012433713525,-8520.08283558604,-4434.24896301247
"24",-6694696.15398645,-6694.69615398645,593.041934363687,-8699.56841732312,-4660.2282151541
"25",-6900337.96085376,-6900.33796085376,567.412851965161,-8789.52123141671,-4299.54512058482
"26",-7072596.38969405,-7072.59638969405,556.033360617934,-8877.9587366567,-5189.14951416396
"27",-7258088.69145785,-7258.08869145785,548.634231547228,-9099.16809043952,-5205.54530756958
