"","Total","Media","DesvPad","Minimo","Maximo"
"1",117366.151872453,11.7366151872453,1071.11419676763,-3645.76279415527,4301.44029345871
"2",-4837830.91813718,-483.783091813718,979.070325850426,-4235.34411711374,3253.77405459184
"3",-9107655.30729461,-910.765530729461,904.751678404484,-4236.8793817795,3193.96766116015
"4",-13154428.422961,-1315.4428422961,861.454337272578,-4600.62630336757,2937.03834355082
"5",-16782661.0264626,-1678.26610264626,840.336425121242,-4671.19457929258,1831.56805457892
"6",-20436701.609839,-2043.6701609839,830.654440190936,-5192.66452680017,1195.3103860209
"7",-23974009.8464349,-2397.40098464349,828.104761345521,-5974.05522992518,1056.23462496114
"8",-27480158.203997,-2748.0158203997,817.734833277057,-6031.76291090892,839.935842304858
"9",-30850782.7095541,-3085.07827095541,808.196320257765,-6053.24667991004,289.592787797067
"10",-34085630.6977456,-3408.56306977456,801.760598786307,-6515.9262681527,313.618904416452
"11",-37323831.7162018,-3732.38317162018,797.384121607735,-7006.57400609478,-179.001375323766
"12",-40321008.4326345,-4032.10084326345,781.574787130798,-7476.2206481294,-325.578805538422
"13",-43402083.0030339,-4340.20830030339,772.263189041605,-7476.2206481294,-1175.26038409628
"14",-46263280.477789,-4626.3280477789,764.339426732276,-7476.2206481294,-1175.26038409628
"15",-49130857.5854933,-4913.08575854933,754.316299270326,-8105.02337812649,-1740.41501842154
"16",-51974837.2713078,-5197.48372713079,756.987737267183,-8105.02337812649,-2302.88922320418
"17",-54924248.8922736,-5492.42488922736,753.606807493341,-8434.37118191394,-2353.31852308026
"18",-57750030.6113971,-5775.00306113971,749.359669342785,-8567.68438744832,-2477.46518276939
"19",-60432934.5056846,-6043.29345056846,746.5556697954,-8984.82540976274,-2892.04276339639
"20",-63085732.102218,-6308.5732102218,731.156095210371,-9499.78643946762,-3096.45220535934
"21",-65606203.6851325,-6560.62036851325,719.715990645719,-9499.78643946762,-3456.92774131225
"22",-68053572.0040804,-6805.35720040804,710.286208860206,-9521.45501114256,-3386.15651286614
"23",-70602613.1494456,-7060.26131494456,690.532585043574,-9682.42625944102,-3921.9910826726
"24",-72916516.9922782,-7291.65169922782,678.597551535851,-9907.75501580217,-3966.13279273942
"25",-75259873.4846937,-7525.98734846937,663.306274147567,-10272.6241781711,-4231.99589604271
"26",-77468788.5486876,-7746.87885486876,646.882073982341,-10272.6241781711,-4299.12166103588
"27",-79633181.3927017,-7963.31813927017,646.120914161805,-10605.3718010559,-5343.31418658749
"28",-81620837.278307,-8162.0837278307,643.106601056178,-10605.3718010559,-5514.06676827879
"29",-83666735.6170475,-8366.67356170475,639.92854078457,-10718.3990609193,-5716.61743910234
"30",-85667302.6446339,-8566.73026446339,620.319904867072,-10718.3990609193,-5995.17405210467
"31",-87522263.2592935,-8752.22632592935,604.815766438426,-10980.2976707089,-6135.2923856039
"32",-89353152.7420228,-8935.31527420228,593.970615915257,-11050.5321749761,-5935.73071689054
"33",-91197818.7085204,-9119.78187085204,579.877478290647,-11287.5711963077,-6702.36710011401
"34",-92851590.213439,-9285.1590213439,568.29596889386,-11435.9535956172,-6551.54655299864
"35",-94489600.2138924,-9448.96002138924,557.878491489397,-11435.9535956172,-6977.82570556023
"36",-96043964.3276855,-9604.39643276855,546.758635564978,-11500.4622714435,-7183.44946802587
"37",-97556678.078143,-9755.6678078143,538.886039608005,-11507.6211625468,-7183.44946802587
"38",-98953129.422963,-9895.3129422963,538.656380019164,-11752.0071755015,-7701.41663671634
"39",-100331868.25178,-10033.186825178,515.354325769294,-11752.0071755015,-7818.99762915255
"40",-101583605.248042,-10158.3605248042,496.85104059915,-11752.0071755015,-8022.69018768892
"41",-102728486.360428,-10272.8486360428,491.567182691303,-11794.193812272,-7529.01983284141
"42",-103899153.382382,-10389.9153382382,483.037537925947,-11941.0071289694,-7906.87739133365
"43",-105089289.0973,-10508.92890973,466.042306876095,-11941.0071289694,-8401.2867288669
"44",-106150691.761842,-10615.0691761842,455.785048195154,-12003.157368906,-8470.33093469328
"45",-107098548.787384,-10709.8548787384,451.024257824377,-12185.5712297387,-8542.21779405235
"46",-108016569.006461,-10801.6569006461,436.960865700607,-12185.5712297387,-8552.51588635109
